Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
294000,0.34131545,30.857142857142858,13.851754,30.015873015873016,30.015873015873016,1.0
296000,0.35073572,31.129032258064516,14.035671,30.112903225806452,30.112903225806452,1.0
298000,0.34430513,31.419354838709676,13.456096,30.306451612903224,30.306451612903224,1.0
300000,0.36683398,31.112903225806452,13.29463,30.161290322580644,30.161290322580644,1.0
302000,0.37711698,30.515625,13.161335,29.484375,29.484375,1.0
304000,0.34586418,29.892307692307693,13.590092,28.876923076923077,28.876923076923077,1.0
306000,0.32098436,30.555555555555557,13.898259,29.571428571428573,29.571428571428573,1.0
308000,0.3519728,31.524590163934427,13.590514,30.59016393442623,30.59016393442623,1.0
310000,0.37652197,30.625,13.390384,29.625,29.625,1.0
312000,0.3451844,30.140625,13.902288,28.984375,28.984375,1.0
314000,0.3148094,30.476190476190474,13.645021,29.571428571428573,29.571428571428573,1.0
316000,0.3200602,30.857142857142858,12.88675,29.92063492063492,29.92063492063492,1.0
318000,0.32074627,30.61904761904762,13.172979,29.476190476190474,29.476190476190474,1.0
320000,0.30315992,31.83606557377049,13.704148,30.852459016393443,30.852459016393443,1.0
322000,0.3196009,30.873015873015873,13.617466,29.857142857142858,29.857142857142858,1.0
324000,0.33145946,32.2,13.823894,31.283333333333335,31.283333333333335,1.0
326000,0.31927735,30.28125,12.651881,29.234375,29.234375,1.0
328000,0.32542178,31.83606557377049,13.655012,30.83606557377049,30.83606557377049,1.0
330000,0.31462395,30.421875,14.7632065,29.53125,29.53125,1.0
332000,0.32185015,31.475409836065573,13.362053,30.37704918032787,30.37704918032787,1.0
334000,0.32142043,30.546875,13.058168,29.453125,29.453125,1.0
336000,0.27686468,32.28333333333333,14.445941,31.366666666666667,31.366666666666667,1.0
338000,0.3052256,30.21875,13.824974,29.359375,29.359375,1.0
340000,0.32028857,31.419354838709676,13.395179,30.20967741935484,30.20967741935484,1.0
342000,0.29347396,32.166666666666664,14.200655,31.25,31.25,1.0
344000,0.3167034,32.35,13.780433,31.35,31.35,1.0
346000,0.32760778,32.79661016949152,13.572282,31.728813559322035,31.728813559322035,1.0
348000,0.32318765,30.936507936507937,13.691011,30.158730158730158,30.158730158730158,1.0
350000,0.26867756,32.266666666666666,13.822036,31.15,31.15,1.0
352000,0.2754956,31.14516129032258,14.006694,30.032258064516128,30.032258064516128,1.0
354000,0.3093749,30.65625,13.556983,29.65625,29.65625,1.0
356000,0.32258874,31.459016393442624,13.207674,30.540983606557376,30.540983606557376,1.0
